timestamp,serverName,type,activeConnections,requests,responseTimeMs,cpu,ram,diskRead,diskWrite,netIn,netOut,errors4xx,errors5xx,busyWorkers,idleWorkers,reqPerSec,bytesPerSec
1774167416102,apache-2b810618,apache,1,0,0,0.0083,0.19170719610512518,0.0,0.0,1196.0,126.0,0,0,1,74,0.147208,166.335
1774167418120,apache-c7e3a469,apache,1,0,0,0.0026999999999999997,0.691826127443786,0.0,0.0,1950.0,126.0,0,0,1,74,0.15,174.08
1774167420118,nginx-787d7175,nginx,1,0,0,0.0,0.5389867049946101,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167422136,apache-2b810618,apache,1,0,0,0.0065,0.19312425035299835,0.0,0.0,1196.0,126.0,0,0,1,74,0.147783,171.507
1774167424164,apache-c7e3a469,apache,1,0,0,0.004367245657568238,0.6923322182465979,0.0,0.0,1950.0,126.0,0,0,1,74,0.150485,173.981
1774167426156,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167428162,apache-2b810618,apache,1,0,0,0.010351758793969849,0.19342790483468544,0.0,0.0,1196.0,126.0,0,0,1,74,0.148325,171.483
1774167430189,apache-c7e3a469,apache,1,0,0,0.013366336633663368,0.6924334364071602,0.0,0.0,1950.0,126.0,0,0,1,74,0.150943,173.887
1774167432189,nginx-787d7175,nginx,1,0,0,0.0,0.5390879231551725,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167434203,apache-2b810618,apache,1,0,0,0.011371571072319201,0.1944400864403091,0.0,0.0,1196.0,126.0,0,0,1,74,0.148837,171.46
1774167436227,apache-c7e3a469,apache,1,0,0,0.0055000000000000005,0.6931419635310967,0.0,0.0,1950.0,126.0,0,0,1,74,0.151376,173.798
1774167438219,nginx-787d7175,nginx,1,0,0,0.0,0.5386830505129231,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167440228,apache-2b810618,apache,1,0,0,0.0116,0.19292181403187358,0.0,0.0,1196.0,126.0,0,0,1,74,0.149321,171.439
1774167442253,apache-c7e3a469,apache,1,0,0,0.0196,0.6938504906550333,0.0,0.0,1950.0,126.0,0,0,1,74,0.151786,173.714
1774167444249,nginx-787d7175,nginx,1,0,0,0.0,0.5389867049946101,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167446259,apache-2b810618,apache,1,0,0,0.0109,0.19292181403187358,0.0,0.0,1196.0,126.0,0,0,1,74,0.14978,171.419
1774167448948,apache-c7e3a469,apache,1,0,0,0.003690773067331671,0.6946602359395323,0.0,0.0,1950.0,126.0,0,0,1,74,0.151515,172.883
1774167450287,nginx-787d7175,nginx,1,0,0,0.0,0.5387842686734854,0.0,0.0,1778.0,126.0,0,0,0,0,0.0,0.0
1774167452305,apache-2b810618,apache,1,0,0,0.023980099502487563,0.1951486135642457,0.0,0.0,1196.0,126.0,0,0,1,74,0.150215,171.399
